#,id,indexNumber,name,address,location_lat,location_lon,creat_time,delete_flag
1,0129bbcd5cea4fb0,45,DEVERELL PLACE,Deverell Place,53.3515,-6.25527,2023-03-01 18:38:16,0
2,013ef2307229412c,83,EMMET ROAD,Emmet Road,53.3407,-6.30819,2023-03-01 18:38:18,0
3,047d1431b35d425f,112,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),53.3578,-6.25156,2023-03-01 18:38:16,0
4,04804e3b704d48cf,37,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,53.3375,-6.26199,2023-03-01 18:38:17,0
5,04877f3ac1274dfc,12,ECCLES STREET,Eccles Street,53.3592,-6.26978,2023-03-01 18:38:18,0
6,07a187daa3cb4d26,48,EXCISE WALK,Excise Walk,53.3478,-6.24424,2023-03-01 18:38:15,0
7,0ce2b9d371d0402f,20,JAMES STREET EAST,James Street East,53.3366,-6.24811,2023-03-01 18:38:14,0
8,0fd8a442c3f84d09,84,BROOKFIELD ROAD,Brookfield Road,53.339,-6.30022,2023-03-01 18:38:16,0
9,102e099c63704ef0,105,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),53.356,-6.27838,2023-03-01 18:38:18,0
10,14572e334c7b4abd,110,PHIBSBOROUGH ROAD,Phibsborough Road,53.3563,-6.27372,2023-03-01 18:38:18,0
11,1561e603c0eb4827,63,FENIAN STREET,Fenian Street,53.3414,-6.24672,2023-03-01 18:38:16,0
12,1815c555d4a246aa,109,BUCKINGHAM STREET LOWER,Buckingham Street Lower,53.3533,-6.24932,2023-03-01 18:38:18,0
13,191dc46626eb4fa1,2,BLESSINGTON STREET,Blessington Street,53.3568,-6.26814,2023-03-01 18:38:18,0
14,1a39f65c91c741c3,28,MOUNTJOY SQUARE WEST,Mountjoy Square West,53.3563,-6.25859,2023-03-01 18:38:18,0
15,1ad8ad495d304dc6,71,KEVIN STREET,Kevin Street,53.3378,-6.2677,2023-03-01 18:38:17,0
16,1e45f8f750fc463f,35,SMITHFIELD,Smithfield,53.3477,-6.27821,2023-03-01 18:38:18,0
17,22dadaed08ea4e9c,15,HARDWICKE STREET,Hardwicke Street,53.3555,-6.26442,2023-03-01 18:38:18,0
18,2662b554c3134c6b,14,FOWNES STREET UPPER,Fownes Street Upper,53.3446,-6.26337,2023-03-01 18:38:15,0
19,2b87776be8e9411c,97,KILMAINHAM GAOL,Kilmainham Gaol,53.3421,-6.31002,2023-03-01 18:38:17,0
20,2c5b0d07760e4f65,8,CUSTOM HOUSE QUAY,Custom House Quay,53.3479,-6.24805,2023-03-01 18:38:17,0
21,2e0a6c70c5c947f5,56,MOUNT STREET LOWER,Mount Street Lower,53.338,-6.24153,2023-03-01 18:38:14,0
